title,description,category
Following the Equator,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Travel
Following the Equator (Annotated),"Following the Equator (sometimes titled More Tramps Abroad) is a non-fiction travelogue published by American author Mark Twain in 1897. Twain was practically bankrupt in 1894 due to a failed investment into a ""revolutionary"" typesetting machine. In an attempt to extricate himself from debt of $100,000 (equivalent of about $2.5 million in 2010) he undertook a tour of the British Empire in 1895, a route chosen to provide numerous opportunities for lectures in English.",Travel
The Adventure of Sherlock Holmes,Book test for magician,Travel
The Railway Journey,"The impact of constant technological change upon our perception of the world is so pervasive as to have become a commonplace of modern society. But this was not always the case; as Wolfgang Schivelbusch points out in this fascinating study, our adaptation to technological change—the development of our modern, industrialized consciousness—was very much a learned behavior. In The Railway Journey, Schivelbusch examines the origins of this industrialized consciousness by exploring the reaction in the nineteenth century to the first dramatic avatar of technological change, the railroad. In a highly original and engaging fashion, Schivelbusch discusses the ways in which our perceptions of distance, time, autonomy, speed, and risk were altered by railway travel. As a history of the surprising ways in which technology and culture interact, this book covers a wide range of topics, including the changing perception of landscapes, the death of conversation while traveling, the problematic nature of the railway compartment, the space of glass architecture, the pathology of the railway journey, industrial fatigue and the history of shock, and the railroad and the city. Belonging to a distinguished European tradition of critical sociology best exemplified by the work of Georg Simmel and Walter Benjamin, The Railway Journey is anchored in rich empirical data and full of striking insights about railway travel, the industrial revolution, and technological change. Now updated with a new preface, The Railway Journey is an invaluable resource for readers interested in nineteenth-century culture and technology and the prehistory of modern media and digitalization.",Travel
The Adventure of the Greek Interpreter,"»The Adventure of the Greek Interpreter« is a short story by Arthur Conan Doyle, about the brilliant Victorian detective Sherlock Holmes. It was first published in 1893. SIR ARTHUR CONAN DOYLE [1859-1930], was a Scottish physician and author, best known for his stories about the groundbreaking master detective Sherlock Holmes. Doyle wrote a total of 56 short stories and four novels about Sherlock Holmes and his constant companion Dr. Watson.",Travel
Budge's Egypt,"Focusing on the monuments on either side of the Nile, the author describes Egyptians, their writing, religion and gods, plus historic locales and objects: Alexandria, Cairo, the Rosetta Stone, the pyramids, the Sphinx; the statue of Rameses II, the temples at Luxor and Karnak, major sites where royal mummies were discovered, and more.",Travel
The Miraculous Journey of Edward Tulane,"The Newbery Medal-winning author of ""The Tale of Despereaux"" returns with this story about a toy rabbit named Edward Tulane. When he becomes lost, Edward takes an extraordinary journey and shows readers a true miracle. Illustrations.",Travel
The Adventure of the Blue Carbuncle,"Watson visits his friend Holmes at Christmas time and finds him contemplating a battered old hat, brought to him by the commissionaire Peterson after the hat and a Christmas goose had been dropped by a man in a scuffle with some street ruffians. Peterson takes the goose home to eat, but later returns to Holmes with a blue carbuncle his wife had found in the bird's crop (throat). Holmes makes some interesting deductions concerning the owner of the hat from simple observations of its condition, conclusions amply confirmed when an advertisement for the owner produces the man himself: Henry Baker. Holmes cannot resist such an intriguing mystery, and he and Watson set out across the city to determine exactly how the jewel, stolen from the Countess of Morcar during her stay at a hotel, wound up in a goose's crop. The man who dropped the goose, Mr. Henry Baker, comes to reclaim his hat in response to Holmes' advertisement. Holmes drops hints about how he saved the ""innards"" of the goose, but Baker fails to respond to them, simply saying that he is afraid goose remains are not much use. He does, however, give Holmes valuable information, eventually leading him to the conclusive stage of his investigation, at Covent Garden. Holmes offers a fresh goose to Henry Baker, who responds with gladness and departs, whereupon Holmes tells Watson that Baker is eliminated from the suspect list as he obviously knows nothing about the carbuncle. At Covent Garden, a salesman named Breckinridge gets angry with Holmes, complaining about all the people who have pestered him about geese sold recently to the landlord of the Alpha Inn. Clearly, someone else knows that the carbuncle was in a goose and is looking for the bird.",Travel
A Sentimental Journey Through France and Italy,"Why buy our paperbacks? Expedited shipping High Quality Paper Made in USA Standard Font size of 10 for all books 30 Days Money Back Guarantee BEWARE of Low-quality sellers Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. How is this book unique? Unabridged (100% Original content) Font adjustments & biography included Illustrated A Sentimental Journey through France and Italy by Laurence Sterne A Sentimental Journey Through France and Italy is a novel by Laurence Sterne, written and first published in 1768, as Sterne was facing death. In 1765, Sterne travelled through France and Italy as far south as Naples, and after returning determined to describe his travels from a sentimental point of view. The novel can be seen as an epilogue to the possibly unfinished work The Life and Opinions of Tristram Shandy, Gentleman, and also as an answer to Tobias Smollett's decidedly unsentimental Travels through France and Italy. Sterne had met Smollett during his travels in Europe, and strongly objected to his spleen, acerbity and quarrelsomeness. He modeled the character of Smelfungus on him. The novel was extremely popular and influential and helped establish travel writing as the dominant genre of the second half of the 18th century. Unlike prior travel accounts which stressed classical learning and objective non-personal points of view, A Sentimental Journey emphasized the subjective discussions of personal taste and sentiments, of manners and morals over classical learning. Throughout the 1770s female travel writers began publishing significant numbers of sentimental travel accounts. Sentiment also became a favorite style among those expressing non-mainstream views including political radicalism. The narrator is the Reverend Mr. Yorick, who is slyly represented to guileless readers as Sterne's barely disguised alter ego. The book recounts his various adventures, usually of the amorous type, in a series of self-contained episodes. The book is less eccentric and more elegant in style than Tristram Shandy and was better received by contemporary critics. It was published on 27 February, and on 18 March Sterne died.",Travel
Rowley Jefferson's Awesome Friendly Adventure,"You’ve never seen the Wimpy Kid World like this before—an entirely new, awesome, friendly, truly fantastic fantasy quest from #1 international bestselling author Jeff Kinney! From the imagination of Rowley Jefferson comes an adventure of epic proportions. Join Roland and his best friend, Garg the Barbarian, as they leave the safety of their village and embark on a quest to save Roland’s mom from the White Warlock. Will our heroes survive? Find out in Rowley Jefferson’s Awesome Friendly Adventure! And don’t miss Rowley Jefferson’s first book, the instant #1 bestseller, Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal!",Travel
The Adventures of Sherlock Holmes,"""The Adventures of Sherlock Holmes"" is the first series of stories featuring the world's most famous detective, Sherlock Holmes. This particular book is the 8th story of the series. Enjoy Sir Arthur Conan Doyle's imagination as you read ""The Adventure of the Speckled Band"".*Matte cover with wrap-around cover art*",Travel
King Solomon's Mines (Lost World Classic) – Unabridged,"Henry Rider Haggard's 'King Solomon's Mines' is a captivating adventure novel that follows the journey of English explorers as they search for the fabled diamond mines of King Solomon in Africa. Written in a straightforward and engaging manner, the book is considered a seminal work in the 'lost world' genre, incorporating elements of colonial adventure and exploration. Haggard seamlessly weaves together themes of greed, imperialism, and friendship in this timeless tale that continues to resonate with readers today. Henry Rider Haggard, a prolific Victorian author, drew inspiration for 'King Solomon's Mines' from his own experiences living in Africa and his fascination with the continent's history and mysterious landscapes. Haggard's background as a colonialist and his unique perspective on African culture further enrich the narrative, providing readers with a nuanced and thought-provoking exploration of Western exploration in a foreign land. I highly recommend 'King Solomon's Mines' to readers who enjoy classic adventure stories with rich historical and cultural contexts. Haggard's vivid descriptions and suspenseful plot make this novel a must-read for anyone interested in the intersection of literature, imperialism, and adventure.",Travel
The Jumping Frog,"Mark Twain's ""The Jumping Frog: In English, then in French, then clawed back into the civilized language once more by patient unremunerated toil"" (1865), also known as ""The Celebrated Jumping Frog of Calaveras County"", ""The Notorious Jumping Frog of Calaveras County"" and ""Jim Smiley and His Jumping Frog.""Containing the original story (in english), a french translation which was published in la Revue des Deux Mondes and which Twain finds to be a travesty of the original text, and Twain's re-translation of the french back into english, word for word (this is where things degenerate). A masterpiece of babelfishien nonsense dating from well before babelfish was even a gleam in the binary code of its creator (1903). Best appreciated if you can read both French and English, but even if you skip the french version it's truly brilliant. If you have ever translated random text using babelfish just because it's funny, don't miss this book.As good old Samuel Clemens himself put it in his foreword ""I cannot speak the French language, but I can translate very well, though not fast, I being self-educated.""",Travel
The Adventure of the Cardboard Box,"Sir Arthur Conan Doyle's mystery, ""The Adventure Of The Cardboard Box"" will not disapoint you. The tale begins when Miss Susan Cushing of Croydon receives a parcel in the post that contains two severed human ears packed in coarse salt. Inspector Lestrade of Scotland Yard thinks it may have been a twisted joke by three medical students whom Miss Cushing was forced to evict because of their unruly behaviour.",Travel
Following the Equator,"Books for All Kinds of Readers ReadHowYouWant offers the widest selection of on-demand, accessible format editions on the market today. Each edition has been optimized for maximum readability, using our patent-pending conversion technology. We are partnering with leading publishers around the globe to create accessible editions of their titles. Our goal is to have accessible editions simultaneously released with publishers' new books so that all readers can have access to the books they want to read today. To find more books in your format visit www.readhowyouwant.com",Travel
Journey to the Interior of the Earth,"A classic Fantasy Novel: Professor Lidenbrock, his nephew Axel and their guide Hans Bjelke find the way to the centre of the earth ...",Travel
Journey to Armenia,"The last published work of a great poet who wrote a few lines attacking Stalin and was shortly thereafter exiled to Siberia where he died near Vladivostok six years later. An inimitable volume, Journey to Armenia is a travel book in name only. Osip Mandelstam visited Armenia in 1930, and during the eight months of his stay, he rediscovered his poetic voice and was inspired to write an experimental meditation on the country and its ancient culture. This edition also includes the companion piece, “Conversation About Dante,” which Seamus Heaney called “Osip Mandelstam’s astonishing fantasia on poetic creation.” An incomparable apologia for poetic freedom and a challenge to the Bolshevik establishment, the essay was dictated by the poet to his wife, Nadezhda Mandelstam, in 1934 and 1935, during the last phase of his itinerant life. It has close ties to Journey to Armenia.",Travel
No Mercy,"Lit with humor, full of African birdsong and told with great narrative force, No Mercy is the magnum opus of ""probably the finest writer of travel books in the English language,"" as Bill Bryson wrote in Outside, ""and certainly the most daring."" Redmond O'Hanlon has journeyed among headhunters in deepest Borneo with the poet James Fenton, and amid the most reticent, imperilled and violent tribe in the Amazon Basin with a night-club manager. This, however, is his boldest journey yet. Accompanied by Lary Shaffer--an American friend and animal behaviorist, a man of imperfect health and brave decency--he enters the unmapped swamp-forests of the People's Republic of the Congo, in search of a dinosaur rumored to have survived in a remote prehistoric lake. The flora and fauna of the Congo are unrivalled, and with matchless passion O'Hanlon describes scores of rare and fascinating animals: eagles and parrots, gorillas and chimpanzees, swamp antelope and forest elephants. But as he was repeatedly warned, the night belongs to Africa, and threats both natural (cobras, crocodiles, lethal insects) and supernatural (from all-powerful sorcerers to Samalé, a beast whose three-clawed hands rip you across the back) make this a saga of much fear and trembling. Omnipresent too are ecological depredations, political and tribal brutality, terrible illness and unnecessary suffering among the forest pygmies, and an appalling waste of human life throughout this little-explored region. An elegant, disturbing and deeply compassionate evocation of a vanishing world, extraordinary in its depth, scope and range of characters, No Mercy is destined to become a landmark work of travel, adventure and natural history. A quest for the meaning of magic and the purpose of religion, and a celebration of the comforts and mysteries of science, it is also--and above all--a powerful guide to the humanity that prevails even in the very heart of darkness.",Travel
Journey To Ixtlan,"In Journey to Ixtlan, Carlos Castaneda introduces readers to this new approach for the first time and explores, as he comes to experience it himself, his own final voyage into the teachings of don Juan, sharing with us what it is like to truly “stop the world” and perceive reality on his own terms. Originally drawn to Yaqui Indian spiritual leader don Juan Matus for his knowledge of mind-altering plants, bestselling author Carlos Castaneda immersed himself in the sorcerer’s magical world entirely. Ten years after his first encounter with the shaman, Castaneda examines his field notes and comes to understand what don Juan knew all along—that these plants are merely a means to understanding the alternative realities that one cannot fully embrace on one’s own.",Travel
Journey to the World Under Ground,"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.",Travel
Hindu Pilgrimage,"As humans, we lead a life full of struggle and strife. During trying moments, we might knowingly or unknowingly indulge in actions that may be sinful. After a certain time, the wrong actions start weighing us down, and our conscience prods us to atone for our sins. That is when we consider visiting a teertha, where we can go and ask for forgiveness. Such a spiritual journey is termed as a pilgrimage or teertha yatra, which is one of the distinguished facets of Hinduism. Though, undertaking a religious journey is not mandatory in this religion, still a number of Hindus visit the teerthas every year in search of peace and enlightenment. Hindu Pilgrimage - The Teerthas takes you on a mental journey to such spiritual places in India. The book discusses in detail Chaar Dhaam, Himalayan Chaar Dhaam, Sapt Puri, Dwadash Jyotirlingam, Panch Sarovar, Sapt Sarita, Divya Desam, Shakti Peetha, Yatras and also some of the famous temples in India. Enhanced with vivid and exclusive pictures, the book brings the places alive and inspires one to make a pilgrimage to these holy shrines.",Travel
The Adventure of Wisteria Lodge,"The Adventure of Wisteria Lodge is one of the fifty-six Sherlock Holmes short stories written by British author Arthur Conan Doyle. One of eight stories in the volume His Last Bow, it is a lengthy, two-part story consisting of ""The Singular Experience of Mr. John Scott Eccles"" and ""The Tiger of San Pedro"", which on original publication in The Strand bore the collective title of ""A Reminiscence of Mr. Sherlock Holmes"". Out of the entire collection of Holmes stories by Doyle, this is the only story in which a police inspector (specifically, Inspector Baynes) is as competent as Holmes. Holmes has nothing but praise for Inspector Baynes, believing that he will rise high in his profession, for he has instinct and intuition. Inspector Lestrade rarely received this kind of appreciation from Holmes. It comes out that Baynes had only arrested the cook to draw out Henderson so he would think he was no longer under suspicion. San Pedro is a fictitious country; its colors are green and white, explaining one part of the cryptic note. The Adventure is said to take place in 1892, but this year was a part of ""The Great Hiatus,"" and Holmes's reference to a colonel whom he has arrested makes it more likely that the year is 1894.",Travel
"Treasure Island The Illustrated & Annotated Classic Unabridged Fiction, Fantasy, Adventure, Epic Novel","""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the novel creates scenes and characters that have fired the imaginations of generations of readers. Written by a superb prose stylist, a master of both action and atmosphere, the story centers upon the conflict between good and evil - but in this case a particularly engaging form of evil. It is the villainy of that most ambiguous rogue Long John Silver that sets the tempo of this tale of treachery, greed, and daring. Designed to forever kindle a dream of high romance and distant horizons, Treasure Island is, in the words of G. K. Chesterton, 'the realization of an ideal, that which is promised in its provocative and beckoning map; a vision not only of white skeletons but also green palm trees and sapphire seas.' G. S. Fraser terms it 'an utterly original book' and goes on to write: 'There will always be a place for stories like Treasure Island that can keep boys and old men happy.'",Travel
Ultimate Journey,"Richard Bernstein's story of his long journey through Asia is at once a memoir of adventurous travel and a record of cultural discovery and spiritual quest. In the year 629, a greatly revered Chinese Buddhist monk, Hsuan Tsang, set out across Asia in search of the Buddhist Truth, to settle what he called the ""perplexities of my mind."" Nearly a millennium and a half later, Richard Bernstein retraces the monk's steps: from the Tang dynasty capital at Xian through ancient Silk Road oases, over forbidding mountain passes to Tashkent, Samarkand, and the Amu-Darya River, across Pakistan to the holiest cities of India--and back. Juxtaposing his experiences with those of Hsuan Tsang, Bernstein reconstructs the hazards and glories of this long and sinuous route, comparing present and past. The monk described what he saw and experienced: landscapes, customs, and, above all, people and the variety of religious beliefs held by those he met. So does our present-day author--taking us to Buddhist cave temples, to the holy places of the Buddha's own life, to the ruins of the Gandharan civilization in Pakistan, to the university in the Ganges Valley where Hsuan Tsang studied. He too encounters extraordinary figures-- among them a German monk in Bodhgaya, a down-and-out maharaja, and a supposed reincarnation of Shiva. And he follows the path of Hsuan Tsang not only in physical but in contemplative ways, reflecting on the mysteries and paradoxes of Buddhist philosophy and on the nature of the Ultimate Truth that was Hsuan Tsang's goal. Ultimate Journey is a vivid, profoundly felt account of two stirring adventures--one in the past and one in the present--in pursuit of illumination.",Travel
Five Fall into Adventure,"""Five Fall into Adventure"" by Enid Blyton. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",Travel
Kernel of the Kernel,"Kernel of the Kernel is an authoritative work on Sufism from a Shi'i perspective that is not only fascinating, but also contains much practical advice. In addition to providing a theoretical discussion of spiritual wayfaring, it is also the account of a personal fifty-year spiritual journey by Sayyid Muḥammad Ḥusayn Ṭabāṭabā'ī, a renowned Iranian-Shii scholar and spiritual master. In Kernel of the Kernel, Ṭabāṭabā'ī discusses the doctrinal foundations of spiritual wayfaring as well as processes and stages that an aspiring wayfarer must go through in order to attain spiritual realization. He discusses the relation between the exoteric and esoteric aspects of Islam and clearly demonstrates that these inward and outward dimensions of Islam complement each other. The book also provides information on the Quranic origins of Sufism and its special relations with Shi'ism as well as the role of Shi'i Imams in the spiritual realization of a sincere wayfarer.",Travel
Turks,"This catalogue accompanies an exhibition devoted to the artistic & cultural riches of the Turkic-speaking peoples. Texts by leading scholars trace Turkic history & cultural development, while artefacts ranging from painting, sculpture, textiles, metalwork & ceramics reflect the artistic influences that the Turks assimilated.",Travel
Reality Is Not What It Seems,"“The man who makes physics sexy . . . the scientist they’re calling the next Stephen Hawking.” —The Times Magazine From the New York Times–bestselling author of Seven Brief Lessons on Physics, The Order of Time, Helgoland, and Anaximander, a closer look at the mind-bending nature of the universe. What are the elementary ingredients of the world? Do time and space exist? And what exactly is reality? Theoretical physicist Carlo Rovelli has spent his life exploring these questions. He tells us how our understanding of reality has changed over the centuries and how physicists think about the structure of the universe today. In elegant and accessible prose, Rovelli takes us on a wondrous journey from Democritus to Albert Einstein, from Michael Faraday to gravitational waves, and from classical physics to his own work in quantum gravity. As he shows us how the idea of reality has evolved over time, Rovelli offers deeper explanations of the theories he introduced so concisely in Seven Brief Lessons on Physics. This book culminates in a lucid overview of quantum gravity, the field of research that explores the quantum nature of space and time, seeking to unify quantum mechanics and general relativity. Rovelli invites us to imagine a marvelous world where space breaks up into tiny grains, time disappears at the smallest scales, and black holes are waiting to explode—a vast universe still largely undiscovered.",Travel
A Journey to the End of the Millennium,"In the year 999, when Ben Attar, a Moroccan Jewish merchant, takes a second wife, he commits an act whose unforeseen consequences will forever alter his family, his relationships, his business-his life. In an attempt to forestall conflict and advance his business interests at the same time, Ben Attar undertakes his annual journey to Europe with both his first wife and his new wife. The trip is the beginning of a profound human drama whose moral conflicts of fidelity and desire resonate with those of our time. Yehoshua renders the medieval world of Jewish and Christian culture and trade with astonishing depth and sensuous detail. Through the trials of a medieval merchant, the renowned author explores the deepest questions about the nature of morality, character, codes of human conduct, and matters of the heart.",Travel
The Adventure of Shoscombe Old Place,"""The Adventure of Shoscombe Old Place"" is the very last Sherlock Holmes story. This ultimate investigation takes him to Berkshire, to a racing stable called Shoscombe Old Place. It’s the head trainer, John Mason, who has asked for Holmes’ help, although he is not sure exactly what he wants him to investigate. All he knows is that strange things have been happening. The owner of the stables, Lady Beatrice Falder, has suddenly stopped coming to greet her favourite horse. Sir Robert, her brother, has been looking very strange of late. Furthermore, he has given his sister’s dog away and has been seen at night meeting an unknown man in the old crypt. And human bones have been found in the furnace. This is enough to spark Holmes curiosity and he takes on the case. ""The Adventure of Shoscombe Old Place"" is part of ""The Case-Book of Sherlock Holmes"". Sir Arthur Conan Doyle (1859-1930) was born in Scotland and studied medicine at the University of Edinburgh. After his studies, he worked as a ship’s surgeon on various boats. During the Second Boer War, he was an army doctor in South Africa. When he came back to the United Kingdom, he opened his own practice and started writing crime books. He is best known for his thrilling stories about the adventures of Sherlock Holmes. He published four novels and more than 50 short-stories starring the detective and Dr Watson, and they play an important role in the history of crime fiction. Other than the Sherlock Holmes series, Doyle wrote around thirty more books, in genres such as science-fiction, fantasy, historical novels, but also poetry, plays, and non-fiction.",Travel
Kosova Express,"""James Pettifer outlines the interplay between the actuality on the ground and the perceptions of the conflict that were promoted in the international media. He graphically describes the region's harsh yet beautiful landscape. Kosova Express evokes the nightmare world of Milosevic's police state and the complexities of the foreign correspondent's life.""--Jacket.",Travel
The Adventures of Huckleberry Finn,"Adventures of Huckleberry Finn (or, in more recent editions, The Adventures of Huckleberry Finn) is a novel by Mark Twain, first published in the United Kingdom in December 1884 and in the United States in February 1885. Commonly named among the Great American Novels, the work is among the first in major American literature to be written throughout in vernacular English, characterized by local color regionalism. It is told in the first person by Huckleberry ""Huck"" Finn, the narrator of two other Twain novels (Tom Sawyer Abroad and Tom Sawyer, Detective) and a friend of Tom Sawyer. It is a direct sequel to The Adventures of Tom Sawyer.The book is noted for its colorful description of people and places along the Mississippi River. Set in a Southern antebellum society that had ceased to exist about 20 years before the work was published, Adventures of Huckleberry Finn is an often scathing satire on entrenched attitudes, particularly racism.Perennially popular with readers, Adventures of Huckleberry Finn has also been the continued object of study by literary critics since its publication. The book was widely criticized upon release because of its extensive use of coarse language. Throughout the 20th century, and despite arguments that the protagonist and the tenor of the book are anti-racist,[2][3] criticism of the book continued due to both its perceived use of racial stereotypes and its frequent use of the racial slur ""nigger"".",Travel
She: a History of Adventure,"Why buy our paperbacks? Unabridged (100% Original content) Printed in USA on High Quality Paper 30 Days Money Back Guarantee Standard Font size of 10 for all books Fulfilled by Amazon Expedited shipping BEWARE OF LOW-QUALITY SELLERS Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. About She: A History of Adventure by H. Rider Haggard She - subtitled A History of Adventure - is a novel by H. Rider Haggard (1856-1925), first serialised in The Graphic magazine from October 1886 to January 1887. She is one of the classics of imaginative literature, and one of the best-selling books of all time, with over 83 million copies sold in 44 different languages as of 1965. She was extraordinarily popular upon its release and has never been out of print. According to literary historian Andrew M. Stauffer, ""She has always been Rider Haggard's most popular and influential novel, challenged only by King Solomon's Mines in this regard"".",Travel
Mozart's Journey to Prague,"""Just over a hundred years ago the Swabian poet, Eduard M̲rike, wrote this delightful story of the famous composer's journey to Prague in 1787 for the first performance of his opera Don Giovanni.""--Jacket",Travel
The Adventure of the Devil's Foot by Arthur Conan Doyle,"""The Adventure of the Devil's Foot"" is one of the 56 Sherlock Holmes short stories written by British author Arthur Conan Doyle. It is one of eight stories in the cycle collected as His Last Bow.Holmes and Dr. Watson find themselves at Poldhu in Cornwall one spring for the former's health, but the holiday ends with a bizarre event. Mr. Mortimer Tregennis, a local gentleman, and Mr. Roundhay, the local vicar, come to Holmes to report that Tregennis's two brothers have gone insane, and his sister has died. Tregennis had gone to visit them in their village (Tredannick Wollas), played whist with them, and then left. When he came back in the morning, he found them still sitting in their places at the table, the brothers, George and Owen, laughing and singing, and the sister, Brenda, dead. The housekeeper had discovered them in this state, and fainted. The vicar has not been to see them yet. Tregennis says that he remembers one brother looking through the window, and then he himself turned to see some ""movement"" outside. He declares that the horrific event is the work of the devil. Mortimer Tregennis was once estranged from his siblings by the matter of dividing the proceeds from the sale of the family business, but he insists that all was forgiven, although he still lives apart from them. The doctor who was summoned, reckoned that she had been dead for six hours. He also collapsed into a chair for a while after arriving.",Travel
The Liturgical Year,"A journey of the soul through the map of Christian time. The liturgical year, beginning on the first Sunday of Advent and carrying through the following November, is the year that sets out to attune the life of the Christian to the life of Jesus, the Christ. What may at first seem to be simply an arbitrary arrangement of ancient holy days, or liturgical seasons, this book explains their essential relationship to one another and their ongoing meaning to us today. It is an excursion into life from the Christian perspective, from the viewpoint of those who set out not only to follow Jesus but to live and think as Jesus did. And it proposes to help us to year after year immerse ourselves into the sense and substance of the Christian life until, eventually, we become what we say we are—followers of Jesus all the way to the heart of God. It is an adventure in human growth; it is an exercise in spiritual ripening. A volume in the eight book classic series, The Ancient Practices, with a foreword by Phyllis Tickle, General Editor.",Travel
China Road,"Running 3,000 miles from the east-coast boomtown of Shanghai to the border of Kazakhstan in the north-west, Route 312 - China's 'Route 66' - is a road that Rob Gifford has always wanted to travel. Gifford's journey and his desire to get to the heart of this country make China Road an outstanding and funny travel narrative - part pilgrimage, part reportage - which illuminates a country on the move.",Travel
From Girl to Goddess,"Many are familiar with Joseph Campbell's theory of the hero's journey, the idea that every man from Moses to Hercules grows to adulthood while battling his alter-ego. This book explores the universal heroine's journey as she quests through world myth. Numerous stories from cultures as varied as Chile and Vietnam reveal heroines who battle for safety and identity, thereby upsetting popular notions of the passive, gentle heroine. Only after she has defeated her dark side and reintegrated can the heroine become the bestower of wisdom, the protecting queen and arch-crone. Instructors considering this book for use in a course may request an examination copy here.",Travel
The Silk Road Journey With Xuanzang,"The Silk Road Journey with Xuanzang tells the saga of the seventh-century Chinese monk Xuanzang, one of China's great heroes, who completed an epic sixteen-year-long journey to discover the heart of Buddhism at its source in India. Eight centuries before Columbus, this intrepid pilgrim traveled 10,000 miles on the Silk Road, meeting most of Asia's important leaders at that time. In this revised and updated edition, Sally Hovey Wriggins, the first Westerner to walk in Xuanzang's footsteps, brings to life a courageous explorer and devoutly religious man. Through Wriggins's telling of Xuanzang's fascinating and extensive journey, the reader comes to know the contours of the Silk Road, Buddhist art and archaeology, the principles of Buddhism, as well as the geography and history of China, Central Asia, and India. The Silk Road Journey with Xuanzang is an inspiring story of human struggle and triumph, and a touchstone for understanding the religions, art, and culture of Asia.",Travel
She A History of Adventure,"Ayesha is She-Who-Must-Be-Obeyed, a 2,000-year-old queen who rules a fabled lost city deep in a maze of African caverns. She has the occult wisdom of Isis, the eternal youth and beauty of Aphrodite, and the violent appetite of a lamia. Like A. Conan Doyle's Lost World, She is one of those magnificent Victorian yarns about an expedition to a far-off locale shadowed by magic, mystery, and death.",Travel
Journey to the End of the Night,No Marketing Blurb,Travel
"Treasure Island (Annotated) Children Book (Illustrated) Classic Action, Adventure, Fiction, Fantasy Novel","""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the novel creates scenes and characters that have fired the imaginations of generations of readers. Written by a superb prose stylist, a master of both action and atmosphere, the story centers upon the conflict between good and evil - but in this case a particularly engaging form of evil. It is the villainy of that most ambiguous rogue Long John Silver that sets the tempo of this tale of treachery, greed, and daring. Designed to forever kindle a dream of high romance and distant horizons, Treasure Island is, in the words of G. K. Chesterton, 'the realization of an ideal, that which is promised in its provocative and beckoning map; a vision not only of white skeletons but also green palm trees and sapphire seas.' G. S. Fraser terms it 'an utterly original book' and goes on to write: 'There will always be a place for stories like Treasure Island that can keep boys and old men happy.'",Travel
Adventure of Huck Finn-GC-Bantam,Recounts the adventures of a young boy and an escaped slave as they travel down the Mississippi River on a raft.,Travel
Proof of Heaven,"Shares an account of his religiously transformative near-death experience and revealing week-long coma, describing his scientific study of near-death phenomena while explaining what he learned about the nature of human consciousness.",Travel
Journey to the Centre of the Earth,"A new translation of one of the world's greatest adventure Stories Originally published in 1864, this Jules Verne classic has wowed generations of readers with its portrayal of an imaginary odyssey into a subterranean wonderland. When Axel deciphers an old parchment describing a secret passage through a volcano to the center of the earth, nothing will stop his eccentric Uncle Lidenbrock from setting out at once. With silent Hans as guide, the two men encounter natural hazards, prehistoric beasts, and other curiosities on their perilous, astonishing, terrifying trek through the underworld. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Travel
